MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2019-2020_Bournemouth_Man City,2019-2020,3,2019-08-25,14:00,Bournemouth,Man City,1,3,A,1.0,2.0,A,A Marriner,10.0,19.0,7.0,5.0,4.0,5.0,7.0,13.0,1.0,3.0,0.0,0.0,15.0,7.5,1.16,1.36,3.2,17.0,8.0,1.22,14.52,7.28,1.19,1.4,3.3,1.37,3.08,0,3
2019-2020_Tottenham_Newcastle,2019-2020,3,2019-08-25,16:30,Tottenham,Newcastle,0,1,A,0.0,1.0,A,M Dean,17.0,8.0,2.0,3.0,6.0,6.0,10.0,5.0,2.0,2.0,0.0,0.0,1.2,6.5,14.0,1.53,2.5,1.27,6.75,14.0,1.24,6.26,12.35,1.59,2.58,1.55,2.47,0,3
2019-2020_Wolves_Burnley,2019-2020,3,2019-08-25,16:30,Wolves,Burnley,1,1,D,0.0,1.0,A,C Pawson,17.0,13.0,2.0,4.0,4.0,3.0,9.0,11.0,0.0,2.0,0.0,0.0,1.85,3.4,4.5,2.3,1.61,1.9,3.55,5.06,1.85,3.43,4.78,2.38,1.67,2.29,1.63,1,1
2019-2020_Southampton_Man United,2019-2020,4,2019-08-31,12:30,Southampton,Man United,1,1,D,0.0,1.0,A,M Dean,10.0,21.0,2.0,8.0,2.0,3.0,17.0,7.0,1.0,2.0,1.0,0.0,3.8,3.3,2.05,1.9,1.9,3.9,3.48,2.15,3.75,3.38,2.1,1.94,2.05,1.9,1.94,1,1
2019-2020_Chelsea_Sheffield United,2019-2020,4,2019-08-31,15:00,Chelsea,Sheffield United,2,2,D,2.0,0.0,H,S Attwell,13.0,8.0,5.0,2.0,3.0,4.0,6.0,11.0,0.0,1.0,0.0,0.0,1.36,4.75,9.0,1.72,2.1,1.4,5.3,10.75,1.36,4.98,9.53,1.77,2.2,1.73,2.13,1,1
2019-2020_Crystal Palace_Aston Villa,2019-2020,4,2019-08-31,15:00,Crystal Palace,Aston Villa,1,0,H,0.0,0.0,D,K Friend,22.0,10.0,5.0,2.0,13.0,2.0,15.0,16.0,2.0,4.0,0.0,1.0,2.15,3.3,3.5,1.9,1.9,2.27,3.46,3.6,2.21,3.38,3.43,2.03,1.92,1.97,1.86,3,0
2019-2020_Leicester_Bournemouth,2019-2020,4,2019-08-31,15:00,Leicester,Bournemouth,3,1,H,2.0,1.0,H,P Bankes,13.0,8.0,5.0,2.0,4.0,5.0,9.0,11.0,1.0,3.0,0.0,0.0,1.7,4.0,4.75,1.66,2.2,1.77,4.12,5.0,1.72,4.02,4.81,1.7,2.33,1.65,2.26,3,0
2019-2020_Man City_Brighton,2019-2020,4,2019-08-31,15:00,Man City,Brighton,4,0,H,2.0,0.0,H,J Moss,15.0,6.0,6.0,2.0,8.0,1.0,10.0,6.0,1.0,1.0,0.0,0.0,1.08,10.0,26.0,1.3,3.5,1.1,13.01,36.0,1.09,11.73,30.92,1.32,3.82,1.3,3.53,3,0
2019-2020_Newcastle_Watford,2019-2020,4,2019-08-31,15:00,Newcastle,Watford,1,1,D,1.0,1.0,D,G Scott,13.0,13.0,5.0,3.0,6.0,5.0,5.0,11.0,2.0,3.0,0.0,0.0,2.5,3.25,2.87,2.0,1.8,2.73,3.32,3.0,2.63,3.24,2.86,2.2,1.83,2.08,1.77,1,1
2019-2020_West Ham_Norwich,2019-2020,4,2019-08-31,15:00,West Ham,Norwich,2,0,H,1.0,0.0,H,P Tierney,18.0,8.0,8.0,3.0,8.0,2.0,16.0,10.0,2.0,1.0,0.0,0.0,1.85,3.9,3.9,1.44,2.75,1.94,4.03,4.1,1.89,3.91,3.92,1.53,2.79,1.48,2.64,3,0
