MatchID,Season,MatchWeek,Date,Time,HomeTeam,AwayTeam,FullTimeHomeTeamGoals,FullTimeAwayTeamGoals,FullTimeResult,HalfTimeHomeTeamGoals,HalfTimeAwayTeamGoals,HalfTimeResult,Referee,HomeTeamShots,AwayTeamShots,HomeTeamShotsOnTarget,AwayTeamShotsOnTarget,HomeTeamCorners,AwayTeamCorners,HomeTeamFouls,AwayTeamFouls,HomeTeamYellowCards,AwayTeamYellowCards,HomeTeamRedCards,AwayTeamRedCards,B365HomeTeam,B365Draw,B365AwayTeam,B365Over2.5Goals,B365Under2.5Goals,MarketMaxHomeTeam,MarketMaxDraw,MarketMaxAwayTeam,MarketAvgHomeTeam,MarketAvgDraw,MarketAvgAwayTeam,MarketMaxOver2.5Goals,MarketMaxUnder2.5Goals,MarketAvgOver2.5Goals,MarketAvgUnder2.5Goals,HomeTeamPoints,AwayTeamPoints
2023-2024_Luton_West Ham,2023-2024,4,2023-09-01,20:00,Luton,West Ham,1,2,A,0.0,1.0,A,P Tierney,16.0,9.0,1.0,3.0,9.0,6.0,8.0,13.0,1.0,1.0,0.0,0.0,4.75,3.8,1.73,1.87,2.03,5.0,4.2,1.78,4.7,3.94,1.74,1.87,2.1,1.82,2.03,0,3
2023-2024_Sheffield United_Everton,2023-2024,4,2023-09-02,12:30,Sheffield United,Everton,2,2,D,2.0,1.0,H,A Madley,13.0,16.0,8.0,6.0,4.0,6.0,11.0,13.0,1.0,2.0,0.0,0.0,2.9,3.25,2.5,2.2,1.67,3.15,3.36,2.59,3.01,3.23,2.5,2.36,1.72,2.26,1.66,1,1
2023-2024_Brentford_Bournemouth,2023-2024,4,2023-09-02,15:00,Brentford,Bournemouth,2,2,D,1.0,1.0,D,R Madley,21.0,12.0,7.0,5.0,5.0,2.0,6.0,13.0,1.0,2.0,0.0,0.0,1.73,3.8,4.75,1.73,2.1,1.77,4.3,4.94,1.72,4.06,4.67,1.81,2.18,1.74,2.12,1,1
2023-2024_Burnley_Tottenham,2023-2024,4,2023-09-02,15:00,Burnley,Tottenham,2,5,A,1.0,2.0,A,D England,16.0,20.0,4.0,10.0,7.0,4.0,15.0,9.0,4.0,3.0,0.0,0.0,3.6,4.0,1.85,1.62,2.3,3.99,4.2,1.93,3.83,3.99,1.88,1.68,2.4,1.64,2.31,0,3
2023-2024_Chelsea_Nott'm Forest,2023-2024,4,2023-09-02,15:00,Chelsea,Nott'm Forest,0,1,A,0.0,0.0,D,T Robinson,21.0,7.0,2.0,3.0,8.0,0.0,10.0,9.0,3.0,4.0,0.0,0.0,1.4,4.5,8.5,1.62,2.3,1.43,5.35,9.0,1.38,5.03,8.27,1.7,2.38,1.64,2.3,0,3
2023-2024_Man City_Fulham,2023-2024,4,2023-09-02,15:00,Man City,Fulham,5,1,H,2.0,1.0,H,M Oliver,7.0,6.0,5.0,4.0,4.0,5.0,12.0,12.0,2.0,4.0,0.0,0.0,1.17,8.0,15.0,1.4,3.0,1.18,9.7,22.0,1.15,8.46,17.91,1.43,3.07,1.4,2.95,3,0
2023-2024_Brighton_Newcastle,2023-2024,4,2023-09-02,17:30,Brighton,Newcastle,3,1,H,1.0,0.0,H,S Attwell,15.0,9.0,6.0,2.0,5.0,3.0,14.0,17.0,4.0,4.0,0.0,0.0,2.5,3.8,2.55,1.5,2.63,2.62,4.1,2.61,2.55,3.87,2.55,1.52,2.72,1.49,2.65,3,0
2023-2024_Crystal Palace_Wolves,2023-2024,4,2023-09-03,14:00,Crystal Palace,Wolves,3,2,H,0.0,0.0,D,R Jones,16.0,12.0,11.0,4.0,4.0,2.0,12.0,12.0,1.0,3.0,0.0,0.0,1.91,3.3,4.33,2.2,1.67,2.01,3.62,4.5,1.95,3.45,4.15,2.3,1.74,2.23,1.68,3,0
2023-2024_Liverpool_Aston Villa,2023-2024,4,2023-09-03,14:00,Liverpool,Aston Villa,3,0,H,2.0,0.0,H,S Hooper,17.0,9.0,4.0,3.0,7.0,3.0,12.0,7.0,0.0,1.0,0.0,0.0,1.65,4.5,4.5,1.4,3.0,1.71,4.7,4.9,1.66,4.49,4.57,1.44,3.07,1.41,2.94,3,0
2023-2024_Arsenal_Man United,2023-2024,4,2023-09-03,16:30,Arsenal,Man United,3,1,H,1.0,1.0,D,A Taylor,17.0,10.0,5.0,2.0,12.0,3.0,8.0,7.0,2.0,3.0,0.0,0.0,1.75,3.8,4.5,1.57,2.38,1.83,4.25,4.7,1.77,4.04,4.38,1.6,2.53,1.55,2.47,3,0
